nr;code;description;augmentedDescription
173;240320;Electric heating and air conditioning supplies and equipment;"Electric heating and air conditioning supplies and equipment Space heating is used to warm the interiors of buildings. Space heaters are useful in places where air-handling is difficult, such as in laboratories. Several methods of electric space heating are used.Electric heating is a process in which electrical energy is converted to heat. Common applications include space heating, cooking, water heating and industrial processes. An electric heater is an electrical device that converts electric current to heat.[1] Storage heating Fan heaters Convection heaters Radiant heaters Domestic electrical underfloor heating The operation of electric resistance heaters to heat an area for long periods is costly in many regions. However, intermittent or partial day use can be more cost efficient than whole building heating due to superior zonal control.  However, if a power plant supplying electricity is included, the overall efficiency drops drastically. For example, a fossil-fuel power station may only deliver 3 units of electrical energy for every 10 units of fuel energy released. Even though the electric heater is 100% efficient, the amount of fuel needed to produce electric heat is more than if the fuel was burned in a furnace or boiler at the building being heated
"
174;250110;Fuel oil;"Fuel oil Fuel oil (also known as heavy oil, marine fuel or furnace oil) is a fraction obtained from petroleum distillation, either as a distillate or a residue. In general terms, fuel oil is any liquid fuel that is burned in a furnace or boiler for the generation of heat or used in an engine for the generation of power, except oils having a flash point of approximately 42 °C (108 °F) and oils burned in cotton or wool-wick burners. Fuel oil is made of long hydrocarbon chains, particularly alkanes, cycloalkanes and aromatics. The term fuel oil is also used in a stricter sense to refer only to the heaviest commercial fuel that can be obtained from crude oil, i.e., heavier than gasoline and naphtha. Oil has many uses  it heats homes and businesses and fuels trucks, ships and some cars. A small amount of electricity is produced by diesel, but it is more polluting and more expensive than natural gas. It is often used as a backup fuel for peaking power plants in case the supply of natural gas is interrupted or as the main fuel for small electrical generators. In Europe, the use of diesel is generally restricted to cars (about 40%), SUVs (about 90%), and trucks and buses (virtually all). The market for home heating using fuel oil, called heating oil, has decreased due to the widespread penetration of natural gas as well as heat pumps. However, it is very common in some areas, such as the Northeastern United States. Heavy fuel oils continue to be used in the boiler ""lighting up"" facility in many coal-fired power plants. This use is approximately analogous to using kindling to start a fire. Without performing this act it is difficult to begin the large-scale combustion process.Emissions from bunker fuel burning in ships contribute to air pollution levels in many port cities, especially where the emissions from industry and road traffic have been controlled. The switch of auxiliary engines from heavy fuel oil to diesel oil at berth can result in large emission reductions, especially for SO2 and PM. CO2 emissions from bunker fuels sold are not added to national GHG emissions. For small countries with large international ports, there is an important difference between the emissions in territorial waters and the total emissions of the fuel sold.[8]"
175;250210;Fuel oil;"Fuel oil Fuel oil (also known as heavy oil, marine fuel or furnace oil) is a fraction obtained from petroleum distillation, either as a distillate or a residue. In general terms, fuel oil is any liquid fuel that is burned in a furnace or boiler for the generation of heat or used in an engine for the generation of power, except oils having a flash point of approximately 42 °C (108 °F) and oils burned in cotton or wool-wick burners. Fuel oil is made of long hydrocarbon chains, particularly alkanes, cycloalkanes and aromatics. The term fuel oil is also used in a stricter sense to refer only to the heaviest commercial fuel that can be obtained from crude oil, i.e., heavier than gasoline and naphtha. Oil has many uses  it heats homes and businesses and fuels trucks, ships and some cars. A small amount of electricity is produced by diesel, but it is more polluting and more expensive than natural gas. It is often used as a backup fuel for peaking power plants in case the supply of natural gas is interrupted or as the main fuel for small electrical generators. In Europe, the use of diesel is generally restricted to cars (about 40%), SUVs (about 90%), and trucks and buses (virtually all). The market for home heating using fuel oil, called heating oil, has decreased due to the widespread penetration of natural gas as well as heat pumps. However, it is very common in some areas, such as the Northeastern United States. Heavy fuel oils continue to be used in the boiler ""lighting up"" facility in many coal-fired power plants. This use is approximately analogous to using kindling to start a fire. Without performing this act it is difficult to begin the large-scale combustion process.Emissions from bunker fuel burning in ships contribute to air pollution levels in many port cities, especially where the emissions from industry and road traffic have been controlled. The switch of auxiliary engines from heavy fuel oil to diesel oil at berth can result in large emission reductions, especially for SO2 and PM. CO2 emissions from bunker fuels sold are not added to national GHG emissions. For small countries with large international ports, there is an important difference between the emissions in territorial waters and the total emissions of the fuel sold.[8]"
176;250220;Coal;"Coal Coal is a combustible black or brownish-black sedimentary rock usually occurring in rock strata in layers or veins called coal beds or coal seams. The harder forms, such as anthracite coal, can be regarded as metamorphic rock because of later exposure to elevated temperature and pressure. Coal is composed primarily of carbon, Coal is a fossil fuel that forms when dead plant matter is converted into peat, which in turn is converted into lignite, then sub-bituminous coal, after that bituminous coal, and lastly anthracite. This involves biological and geological processes. The geological processes take place over millions of years.[2] Throughout human history, coal has been used as an energy resource, primarily burned for the production of electricity and heat, and is also used for industrial purposes, such as refining metals. Coal is the largest source of energy for the generation of electricity worldwide, as well as one of the largest worldwide anthropogenic sources of carbon dioxide releases. The extraction of coal, its use in energy production and its byproducts are all associated with environmental and health effects including climate change.[3] Coal is extracted from the ground by coal mining. Since 1983, the world's top coal producer has been China.[4] In 2015 China produced 3,747 million tonnes of coal – 48% of 7,861 million tonnes world coal production. In 2015 other large producers were United States (813 million tonnes), India (678), European Union (539) and Australia (503).[4] In 2010 the largest exporters were Australia with 328 million tonnes (27% of world coal export) and Indonesia with 316 million tonnes (26%),[5] while the largest importers were Japan with 207 million tonnes (18% of world coal import), China with 195 million tonnes (17%) and South Korea with 126 million tonnes (11%).[ Coal (by liquefaction technology) is one of the backstop resources that could limit escalation of oil prices and mitigate the effects of transportation energy shortage that will occur under peak oil. This is contingent on liquefaction production capacity becoming large enough to satiate the very large and growing demand for petroleum. Estimates of the cost of producing liquid fuels from coal suggest that domestic U.S. production of fuel from coal becomes cost-competitive with oil priced at around $35 per barrel,[137] with the $35 being the break-even cost. With oil prices as low as around $40 per barrel in the U.S. as of December 2008, liquid coal lost some of its economic allure in the U.S., but will probably be re-vitalized, similar to oil sand projects, with an oil price around $70 per barrel. In China, due to an increasing need for liquid energy in the transportation sector, coal liquefaction projects were given high priority even during periods of oil prices below $40 per barrel.[138] This is probably because China prefers not to be dependent on foreign oil, instead utilizing its enormous domestic coal reserves. As oil prices were increasing during the first half of 2009, the coal liquefaction projects in China were again boosted, and these projects are profitable with an oil barrel price of $40.[139] China is the largest producer of coal in the world. It is the world's largest energy consumer, and relies on coal to supply 69% of its energy needs.[140] An estimated 5 million people worked in China's coal-mining industry in 2007.[141] carbon impact Coal pollution costs the EU €43 billion each year.[142] Measures to cut air pollution may have beneficial long-term economic impacts for individuals.[143] As of 2006, the average efficiency of electricity-generating power stations was 31%  in 2002, coal represented about 23% of total global energy supply, an equivalent of 3.4 billion tonnes of coal, of which 2.8 billion tonnes were used for electricity generation.[146] The US Energy Information Agency's 1999 report on CO2 emissions for energy generation quotes an emission factor of 0.963 kg CO2/kWh for coal power, compared to 0.881 kg CO2/kWh (oil), or 0.569 kg CO2/kWh (natural gas
"
177;250900;Miscellaneous fuels, such as wood, kerosene, charcoal, oil mix for gas, lawnmower oil, lamp oil, duraflame log, and sterno;Miscellaneous fuels, such as wood, kerosene, charcoal, oil mix for gas, lawnmower oil, lamp oil, duraflame log, and sterno  burned to produce heat or power. upply or power cause (a fire) to burn more intensely.
178;260110;Electricity;"Electricity Electrical power is usually generated by electro-mechanical generators driven by steam produced from fossil fuel combustion, or the heat released from nuclear reactions  or from other sources such as kinetic energy extracted from wind or flowing water. The modern steam turbine invented by Sir Charles Parsonsin 1884 today generates about 80 percent of the electric power in the world using a variety of heat sources. Such generators bear no resemblance to Faraday's homopolar disc generator of 1831, but they still rely on his electromagnetic principle that a conductor linking a changing magnetic field induces a potential difference across its ends.[55] The invention in the late nineteenth century of the transformer meant that electrical power could be transmitted more efficiently at a higher voltage but lower current. Efficient electrical transmission meant in turn that electricity could be generated at centralised power stations, where it benefited from economies of scale, and then be despatched relatively long distances to where it was needed.[56][57]. a form of energy resulting from the existence of charged particles (such as electrons or protons), either statically as an accumulation of charge or dynamically as a current. 
Electricity generation is defined as electricity generated from fossil fuels, nuclear power plants, hydro power plants (excluding pumped storage), geothermal systems, solar panels, biofuels, wind. It includes electricity produced in electricity-only plants and in combined heat and power plants."
179;260210;Utility - natural gas;"Utility - natural gas Natural gas is a naturally occurring hydrocarbon gas mixture consisting primarily of methane, but commonly including varying amounts of other higher alkanes, and sometimes a small percentage of carbon dioxide, nitrogen, hydrogen sulfide, or helium.[2] It is formed when layers of decomposing plant and animal matter are exposed to intense heat and pressure under the surface of the Earth over millions of years. The energy that the plants originally obtained from the sun is stored in the form of chemical bonds in the gas.[3] Natural gas is a fossil fuel used as a source of energy for heating, cooking, and electricity generation. It is also used as a fuel for vehicles and as a chemical feedstock in the manufacture of plastics and other commercially important organic chemicals. Fossil fuel based natural gas is a non-renewable resource.[3] . Petroleum is another resource and fossil fuel found in close proximity to and with natural gas Deeper in the earth, at greater temperature and pressure, thermogenic gas is created from buried organic material.[4][5] Natural gas is often informally referred to simply as ""gas"", especially when compared to other energy sources such as oil or coal. However, it is not to be confused with gasoline, especially in North America, where the term gasoline is often shortened in colloquial usage to gas. During extraction, storage, transportation, and distribution, natural gas is known to leak into the atmosphere, particularly during the extraction process. A Cornell University study in 2011 demonstrated that the leak rate of methane may be high enough to jeopardize its global warming advantage over coal.[81 Natural gas is often described as the cleanest fossil fuel. It produces 25%–30% and 40%–45% less carbon dioxide per joule delivered than oil and coal respectively,[60] and potentially fewer pollutants than other hydrocarbon fuels.[60][85] However, in absolute terms, it comprises a substantial percentage of human carbon emissions, and this contribution is projected to grow."
180;270000;Telephone service, including public pay phones;"Telephone service, including public pay phones A payphone (alternative spelling: pay phone) is typically a coin-operated public telephone, often located in a telephone booth or a privacy hood, with pre-payment by inserting money (usually coins) or by billing a credit or debit card, or a telephone card. Traditionally, local telephone service was provided by small companies based in given cities and towns as opposed to larger, national or international companies. Telephone calls outside of the local area provided for by these companies were patched through long distance networks that were, until de-regulation, operation mainly by AT&T. Some providers of local services were regional Bell operating companies, but not all local telephone companies were a regional Bell operating company or tied to one at the local level, especially after de-regulation of 1996. After de-regulation, these regional Bell operating companies continued providing the same technical services despite being under a different type of corporate structure.
"
181;270210;Water and sewerage maintenance;Water and sewerage maintenance Sewerage is the infrastructure that conveys sewage or surface runoff (stormwater, meltwater, rainwater) using sewers. It encompasses components such as receiving drains, manholes, pumping stations, storm overflows, and screening chambers of the combined sewer or sanitary sewer. Sewerage ends at the entry to a sewage treatment plant or at the point of discharge into the environment. It is the system of pipes, chambers, manholes, etc. that conveys the sewage or storm water. the process of preserving a condition or situation or the state of being preserved.
182;270310;Cable and satellite television services;"Cable and satellite television services Cable television is a system of delivering television programming to paying subscribers via radio frequency (RF) signals transmitted through coaxial cables, or in more recent systems, light pulses through fiber-optic cables. This contrasts with broadcast television, in which the television signal is transmitted over the air by radio waves and received by a television antenna attached to the television  or satellite television, in which the television signal is transmitted by a communications satellite orbiting the Earth and received by a satellite dish on the roof. FM radio programming, high-speed Internet, telephone services, and similar non-television services may also be provided through these cables. Analog television was standard in the 20th century, but since the 2000s, cable systems have been upgraded to digital cable operation.
"
183;270311;Satellite radio service;"Satellite radio service Satellite radio is defined by the International Telecommunication Union (ITU)'S ITU Radio Regulations (RR) as a broadcasting-satellite service.[1] The satellite's signals are broadcast nationwide, across a much wider geographical area than terrestrial radio stations, and the service is primarily intended for the occupants of motor vehicles.[2][3] It is available by subscription, mostly commercial free, and offers subscribers more stations and a wider variety of programming options than terrestrial radio.[4] Satellite radio technology was inducted into the Space Foundation Space Technology Hall of Fame in 2002.[5] Satellite radio uses the 2.3 GHz S band in North America for nationwide digital radio broadcasting.[6] In other parts of the world, satellite radio uses the 1.4 GHz L band allocated for DAB.[
 "
184;270410;Garbage, trash collection;Garbage, trash collection Waste management or waste disposal are all the activities and actions required to manage waste from its inception to its final disposal.[1] This includes amongst other things collection, transport, treatment and disposal of waste together with monitoring and regulation. It also encompasses the legal and regulatory framework that relates to waste management encompassing guidance on recycling.
185;270900;Septic tank cleaning;Septic tank cleaning Cleaning is the process of removing unwanted substances, such as dirt, infectious agents, and other impurities, from an object or environment. Cleaning occurs in many different contexts, and uses many different methods. Several occupations are devoted to cleaning. A septic tank is a chamber made of concrete, fiberglass, PVC or plastic, through which domestic wastewater (sewage) flows for primary treatment.[1] Settling and anaerobic processes reduce solids and organics, but the treatment is only moderate.[1] Septic tank systems are a type of onsite sewage facility (OSSF). They can be used in areas that are not connected to a sewerage system, such as rural areas. The treated liquid effluent is commonly disposed in a septic drain field which provides further treatment. However, groundwater pollution may occur and can be a problem.
186;280110;Bathroom linens;"Bathroom linens Linens are fabric household goods intended for daily use, such as bedding, tablecloths and towels. ""Linens"" may also refer to church linens, meaning the altar cloths used in church. A bathroom is a room in the home for personal hygiene activities, generally containing a sink (basin) and either a bathtub, a shower, or both. In some countries, the toilet is included in this room, for ease of plumbing, whereas other cultures consider this insanitary, and give that fixture a room of its own.
"
187;280120;Bedroom linens;"Bedroom linens Linens are fabric household goods intended for daily use, such as bedding, tablecloths and towels. ""Linens"" may also refer to church linens, meaning the altar cloths used in church.  bedroom is a room of a house, mansion, hotel, dormitory, or apartment where people sleep. A typical western bedroom contains as bedroom furniture one or two beds (ranging from a crib for an infant, a small twin bed usually for a toddler or young child, twin bed for a single person, a double or full size for up to two people/couple, a queen bed for a couple, to a California king (waterbed size) or Eastern king size bed for a couple), a clothes closet, a nightstand, and a dresser (dressing table). Except in bungalows, ranch style homes, or one-storey motels, bedrooms are usually on one of the floors of a dwelling that is above ground level.
"
188;280140;Kitchen , dining room, other linens;"Kitchen , dining room, other linens Linens are fabric household goods intended for daily use, such as bedding, tablecloths and towels. ""Linens"" may also refer to church linens, meaning the altar cloths used in church.  A kitchen is a room or part of a room used for cooking and food preparation in a dwelling or in a commercial establishment. In the West, a modern residential kitchen is typically equipped with a stove, a sink with hot and cold running water, a refrigerator, counters and kitchen cabinets arranged according to a modular design. Many households have a microwave oven, a dishwasher and other electric appliances. The main function of a kitchen is serving as a location for storing, cooking and preparing food (and doing related tasks such as dishwashing), but it may also be used for dining, entertaining and laundry."
189;280210;Curtains and draperies;"Curtains and draperies A curtain (sometimes known as a drape, mainly in the United States) is a piece of cloth intended to block or obscure light, or drafts, or water in the case of a shower curtain.[1] A curtain is also the movable screen or drape in a theater that separates the stage from the auditorium or that serves as a backdrop.[1] Curtains come in a variety of shapes, materials, sizes, colors and patterns, and they often have their own sections within department stores, while some shops are completely dedicated to selling curtains.

"
190;280220;Slipcovers, decorative pillows;Slipcovers, decorative pillows A slipcover (also called loose cover) is a fitted protective cover that may be slipped off and on a piece of upholstered furniture. Slipcovers are usually made of cloth. Slipcovers slip on and off, they come fresh, and may be removed for seasonal change, cleaning, moving, or storage. In contemporary western culture, pillows consist of a plain or patterned fabric envelope (pillowcase) which contains a soft stuffing, which may range from down feathers to synthetic foam. There are also throw pillows[3] (also called toss pillows or pillow shams in different worldwide dialects of English[citation needed]), which are pillows that are mainly decorative and not designed for support or comfort. A cushion[3] is a soft bag filled with air or padding such as hollow fiber, feathers, foam or rubber. In the United Kingdom, pillows used on chairs and sofas are called cushions or throw cushions, with the word pillow used only for pillows on a bed.
191;290110;Mattress and springs;Mattress and springs A mattress is a large pad for supporting the reclining body, used as a bed or as part of a bed. Mattresses may consist of a quilted or similarly fastened case, usually of heavy cloth, that contains hair, straw, cotton, foam rubber, etc., or a framework of metal springs.[1] Mattresses may also be filled with air[1] or water.
192;290120;Other bedroom furniture;Other bedroom furniture Bedroom furniture, sometimes called a bedroom set or bedroom suite consists of a group of furniture in a bedroom or sleeping quarters. Pieces of furniture referred to as bedroom furniture usually include: beds, wardrobes, dressers, chests, nightstands, armoires, vanities, trunks, and mirrors. There are also many variations of these pieces as furniture styles have changed through time and as individual manufacturers have put their own spin on them. Bedroom furniture is predominantly made of wood, but many bed frames are made of various metals as well. Bed frames include but are not limited to bed rails, foot-boards and head-boards. Foot-boards and head-boards are usually made up of a few materials including wood, leather, paint & other various fabrics. Steel or iron is usually used for bed rails.
193;290210;Sofas;Sofas A couch (U.S. English, British English)[1], also known as a sofa, settee (Canadian English and British English), or chesterfield (Canadian English and British English) is a piece of furniture for seating two or three people in the form of a bench, with armrests, that is partially or entirely upholstered, and often fitted with springs and tailored cushions.[2][3] Although a couch is used primarily for seating, it may be used for sleeping.[4] In homes, couches are normally found in the family room, living room, den, or the lounge. They are sometimes also found in non-residential settings such as hotels, lobbies of commercial offices, waiting rooms, and bars.
194;290310;Living room chairs;Living room chairs In homes that lack a parlour or drawing room, the living room may also function as a reception room.[1 A typical Western living room may contain furnishings such as a sofa, chairs, occasional tables, coffee tables, bookshelves, electric lamps, rugs, or other furniture. Traditionally, a sitting room in the United Kingdom and New Zealand has a fireplace, dating from when this was necessary for heating. In a Japanese sitting room, called a washitsu, the floor is covered with tatami, sectioned mats, on which people can sit comfortably. A chair is a piece of furniture with a raised surface supported by legs, commonly used to seat a single person. Chairs are supported most often by four legs and have a back [1][2] however, a chair can have three legs or can have a different shape.[3] Chairs are made of a wide variety of materials, ranging from wood to metal to synthetic material (e.g. plastic), and they may be padded or upholstered in various colors and fabrics, either just on the seat (as with some dining room chairs) or on the entire chair. Chairs are used in a number of rooms in homes (e.g. in living rooms, dining rooms, and dens), in schools and offices (with desks), and in various other workplaces.
195;290320;Living room tables;Living room tables In homes that lack a parlour or drawing room, the living room may also function as a reception room.[1 A typical Western living room may contain furnishings such as a sofa, chairs, occasional tables, coffee tables, bookshelves, electric lamps, rugs, or other furniture. Traditionally, a sitting room in the United Kingdom and New Zealand has a fireplace, dating from when this was necessary for heating. In a Japanese sitting room, called a washitsu, the floor is covered with tatami, sectioned mats, on which people can sit comfortably. A table is an item of furniture with a flat top and one or more legs, used as a surface for working at, eating from or on which to place things.[1][2] Some common types of table are the dining room table, which is used for seated persons to eat meals  the coffee table, which is a low table used in living rooms to display items or serve refreshments  and the bedside table, which is used to place an alarm clock and a lamp. There are also a range of specialized types of tables, such as drafting tables, used for doing architectural drawings, and sewing tables.
196;290410;Kitchen, dining room furniture;Kitchen, dining room furniture Furniture refers to movable objects intended to support various human activities such as seating (e.g., chairs, stools, and sofas), eating (tables), and sleeping (e.g., beds). Furniture is also used to hold objects at a convenient height for work (as horizontal surfaces above the ground, such as tables and desks), or to store things (e.g., cupboards and shelves).  Furniture can be a product of design and is considered a form of decorative art. In addition to furniture's functional role, it can serve a symbolic or religious purpose. It can be made from many materials, including metal, plastic, and wood. Furniture can be made using a variety of woodworking joints which often reflect the local culture. A kitchen is a room or part of a room used for cooking and food preparation in a dwelling or in a commercial establishment. In the West, a modern residential kitchen is typically equipped with a stove, a sink with hot and cold running water, a refrigerator, counters and kitchen cabinets arranged according to a modular design.
197;290420;Infants'' furniture;"Infants'' furniture Furniture refers to movable objects intended to support various human activities such as seating (e.g., chairs, stools, and sofas), eating (tables), and sleeping (e.g., beds). Furniture is also used to hold objects at a convenient height for work (as horizontal surfaces above the ground, such as tables and desks), or to store things (e.g., cupboards and shelves). Furniture can be a product of design and is considered a form of decorative art. In addition to furniture's functional role, it can serve a symbolic or religious purpose. It can be made from many materials, including metal, plastic, and wood. Furniture can be made using a variety of woodworking joints which often reflect the local culture. An infant (from the Latin word infans, meaning ""unable to speak"" or ""speechless"") is the more formal or specialised synonym for ""baby"", the very young offspring of a human. The term may also be used to refer to juveniles of other organisms."
198;290430;Outdoor furniture;"Outdoor furniture Furniture refers to movable objects intended to support various human activities such as seating (e.g., chairs, stools, and sofas), eating (tables), and sleeping (e.g., beds). Furniture is also used to hold objects at a convenient height for work (as horizontal surfaces above the ground, such as tables and desks), or to store things (e.g., cupboards and shelves). Furniture can be a product of design and is considered a form of decorative art. In addition to furniture's functional role, it can serve a symbolic or religious purpose. It can be made from many materials, including metal, plastic, and wood. Furniture can be made using a variety of woodworking joints which often reflect the local culture.
"
199;290440;Wall units, cabinets and other occasional furniture;Wall units, cabinets and other occasional furniture
200;300110;Refrigerator, home freezer;Refrigerator, home freezer A refrigerator (colloquially fridge or fridgefreezer in the UK) is a popular household appliance that consists of a thermally insulated compartment and a heat pump (mechanical, electronic or chemical) that transfers heat from the inside of the fridge to its external environment so that the inside of the fridge is cooled to a temperature below the ambient temperature of the room. Refrigeration is an essential food storage technique in developed countries. The lower temperature lowers the reproduction rate of bacteria, so the refrigerator reduces the rate of spoilage. A refrigerator maintains a temperature a few degrees above the freezing point of water. Optimum temperature range for perishable food storage is 3 to 5 °C (37 to 41 °F).[1] A similar device that maintains a temperature below the freezing point of water is called a freezer. The refrigerator replaced the icebox, which had been a common household appliance for almost a century and a half. For this reason, a refrigerator is sometimes referred to as an icebox in American usage.
201;300218;WASHERS AND DRYERS;WASHERS AND DRYERS A clothes dryer, tumble dryer, drying machine or dryer is a powered household appliance that is used to remove moisture from a load of clothing, bedding and other textiles, usually shortly after they are washed in a washing machine. A washing machine (laundry machine, clothes washer, or washer) is a device used to wash laundry. The term is mostly applied to machines that use water as opposed to dry cleaning (which uses alternative cleaning fluids, and is performed by specialist businesses) or ultrasonic cleaners. Laundry detergent is added to the wash water, and is sold in either powdered or liquid form.
202;300310;Stoves, ovens;"Stoves, ovens A kitchen stove, often called simply a stove or a cooker, is a kitchen appliance designed for the purpose of cooking food. Kitchen stoves rely on the application of direct heat for the cooking process and may also contain an oven, used for baking. ""Cookstoves"" (also called ""cooking stoves"" or ""wood stoves"") are heated by burning wood or charcoal  ""gas stoves"" are heated by gas  and ""electric stoves"" by electricity. A stove with multiple cooking surfaces is also called a range.[1] An oven is a thermally insulated chamber used for the heating, baking, or drying of a substance,[1] and most commonly used for cooking. Kilns and furnaces are special-purpose ovens, used in pottery and metalworking, respectively."
203;300320;Microwave ovens;"Microwave ovens A microwave oven (also commonly referred to as a microwave) is a kitchen appliance that heats and cooks food by exposing it to electromagnetic radiation in the microwave frequency range. This induces polar molecules in the food to rotate and produce thermal energy in a process known as dielectric heating. Microwave ovens heat foods quickly and efficiently because excitation is fairly uniform in the outer 25–38 mm (1–1.5 inches) of a homogeneous, high water content food item  food is more evenly heated throughout than generally occurs in other cooking techniques. Some current plastic containers and food wraps are specifically designed to resist radiation from microwaves. Products may use the term ""microwave safe"", may carry a microwave symbol (three lines of waves, one above the other) or simply provide instructions for proper microwave use. Any of these is an indication that a product is suitable for microwaving when used in accordance with the directions provided.[27]"
204;300900;Miscellaneous household appliances;"Miscellaneous household appliances Given a broad usage, the domestic application attached to ""home appliance"" is tied to the definition of appliance as ""an instrument or device designed for a particular use or function"".[4] More specifically, Collins dictionary defines ""home appliance"" as: ""devices or machines, usually electrical, that are in your home and which you use to do jobs such as cleaning or cooking.""[5] The broad usage, afforded to the definition allows for nearly any device intended for domestic use to be a home appliance, including consumer electronics as well as stoves,[6] refrigerators, toasters[6] and air conditioners to light bulbs and water well pumps.[7][8]
"
205;310140;Televisions;"Televisions A television set, more commonly called a television, TV, TV set, television receiver, or telly, is a device that combines a tuner, display, and loudspeakers for the purpose of viewing television. Introduced in the late 1920s in mechanical form, television sets became a popular consumer product after World War II in electronic form, using cathode ray tubes. The addition of color to broadcast television after 1953 further increased the popularity of television sets in the 1960s, and an outdoor antenna became a common feature of suburban homes. The ubiquitous television set became the display device for the first recorded media in the 1970s, such as Betamax, VHS and later DVD. It was also the display device for the first generation of home computers (e.g., Timex Sinclair 1000) and video game consoles (e.g., Atari) in the 1980s. In the 2010s flat panel television incorporating liquid-crystal displays, especially LED-backlit LCDs, largely replaced cathode ray tubes and other displays.[1][2] [3] [4] [5] Modern flat panel TVs are typically capable of high-definition display (720p, 1080i, 1080p) and can also play content from a USB device.
"
206;310210;VCR''s and video disc players;VCR''s and video disc players A videocassette recorder, VCR, or video recorder is an electromechanical device that records analog audio and analog video from broadcast television or other source on a removable, magnetic tape videocassette, and can play back the recording. Use of a VCR to record a television program to play back at a more convenient time is commonly referred to as timeshifting. 
207;310220;Video cassettes, tapes, and discs;Video cassettes, tapes, and discs A videocassette recorder, VCR, or video recorder is an electromechanical device that records analog audio and analog video from broadcast television or other source on a removable, magnetic tape videocassette, and can play back the recording. Use of a VCR to record a television program to play back at a more convenient time is commonly referred to as timeshifting. VCRs can also play back prerecorded tapes. In the 1980s and 1990s, prerecorded videotapes were widely available for purchase and rental, and blank tapes were sold to make recordings.
208;310231;Video game software;"Video game software 
A video game is an electronic game that involves interaction with a user interface to generate visual feedback on a video device such as a TV screen or computer monitor. The word video in video game traditionally referred to a raster display device, but as of the 2000s, it implies any type of display device that can produce two- or three-dimensional images. Some theorists categorize video games as an art form, but this designation is controversial. The electronic systems used to play video games are known as platforms  examples of these are personal computers and video game consoles. These platforms range from large mainframe computers to small handheld computing devices. Specialized video games such as arcade games, in which the video game components are housed in a large, typically coin-operated chassis, while common in the 1980s in video arcades, have gradually declined due to the widespread availability of affordable home video game consoles (e.g., PlayStation 4, Xbox One and Nintendo Wii U) and video games on desktop and laptop computers and smartphones.Computer software, or simply software, is a part of a computer system that consists of data or computer instructions, in contrast to the physical hardware from which the system is built. In computer science and software engineering, computer software is all information processed by computer systems, programs and data. Computer software includes computer programs, libraries and related non-executable data, such as online documentation or digital media. Computer hardware and software require each other and neither can be realistically used on its own."
209;310232;Video game hardware and accessories;"Video game hardware and accessories 
A video game is an electronic game that involves interaction with a user interface to generate visual feedback on a video device such as a TV screen or computer monitor. The word video in video game traditionally referred to a raster display device, but as of the 2000s, it implies any type of display device that can produce two- or three-dimensional images. Some theorists categorize video games as an art form, but this designation is controversial. The electronic systems used to play video games are known as platforms  examples of these are personal computers and video game consoles. These platforms range from large mainframe computers to small handheld computing devices. Specialized video games such as arcade games, in which the video game components are housed in a large, typically coin-operated chassis, while common in the 1980s in video arcades, have gradually declined due to the widespread availability of affordable home video game consoles (e.g., PlayStation 4, Xbox One and Nintendo Wii U) and video games on desktop and laptop computers and smartphones."
210;310241;STREAMING VIDEO FILES;"STREAMING VIDEO FILES Streaming media is multimedia that is constantly received by and presented to an end-user while being delivered by a provider. The verb ""to stream"" refers to the process of delivering or obtaining media in this manner  the term refers to the delivery method of the medium, rather than the medium itself, and is an alternative to file downloading, a process in which the end-user obtains the entire file for the content before watching or listening to it. A client end-user can use their media player to start playing the data file (such as a digital file of a movie or song) before the entire file has been transmitted. Distinguishing delivery method from the media distributed applies specifically to telecommunications networks, as most of the delivery systems are either inherently streaming (e.g. radio, television, streaming apps) or inherently non-streaming (e.g. books, video cassettes, audio CDs). For example, in the 1930s, elevator music was among the earliest popularly available streaming media  nowadays Internet television is a common form of streamed media. The term ""streaming media"" can apply to media other than video and audio such as live closed captioning, ticker tape, and real-time text, which are all considered ""streaming text”."
211;310242;DOWNLOADING VIDEO FILES;"DOWNLOADING VIDEO FILES Downloading generally transfers entire files for local storage and later use, as contrasted with streaming, where the data is used nearly immediately, while the transmission is still in progress, and which may not be stored long-term. Increasingly, websites that offer streaming media or media displayed in-browser, such as YouTube, and which place restrictions on the ability of users to save these materials to their computers after they have been received. Downloading is not the same as data transfer  moving or copying data between two storage devices would be data transfer, but receiving data from the Internet is downloading.
"
212;310314;Personal digital audio players;"Personal digital audio players Cassette player, a piece of hardware for playing audio cassettes Digital audio player, a piece of hardware for playing audio files Audio player (software), a piece of computer software for playing audio files The following comparison of audio players compares general and technical information for a number of software media player programs. For the purpose of this comparison, ""audio players"" are defined as any media player explicitly designed to play audio files, with limited or no support for video playback. Multi-media players designed for video playback, which can also play music, are included under comparison of video player software. Audio equipment refers to devices that reproduce, record, or process sound. This includes microphones, radio receivers, AV receivers, CD players, tape recorders, amplifiers, mixing consoles, effects units, and loudspeakers"
213;310315;Digital media players and recorders;"Digital media players and recorders A digital media players (DMP) is home entertainment consumer electronics device that can connect to a home network to stream digital media such as music, photos or digital video.[1][2] Digital media players can stream files from a personal computer, network-attached storage or another networked media server, to play the media on a television or video projector display for home cinema. Most digital media players utilize a 10-foot user interface, and many are navigated via a remote control.[3][4] Some digital media players also have Smart TV features, such as allowing users to stream media such as digital versions of movies and TV shows from the Internet or streaming services.[5]
"
